segment_id,phase,model_best_phase,model_best_score,model_best_cluster,anomaly_score,is_anomaly
Dec 28 2025-ad0d86-1766942980.39-1766943664.6-1577-9e42555c2c81,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 29 2025-a69dd8-1767016494.68-1767017198.66-1579-384f831bbe8d,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ac27cf-0-d8f583efff05,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ad3c78-1766961378.96-1766962252.67-1405-5708e1938f63,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a53774-1766957898.45-1766958612.73-1366-e77181e465e0,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 29 2025-a7d6a8-1766981114.58-1766981872.94-1226-778ba2d091a9,DEPARTURE,DEPARTURE,0.23494252023633483,0.0,0.23494252023633483,False
a2dadf-0-1d5cf000de3b,DEPARTURE,DEPARTURE,0.19690148566787302,0.0,0.19690148566787302,False
abc29a-0-5484ac99e0a6,DEPARTURE,DEPARTURE,0.4004382955076376,0.0,0.4004382955076376,False
abb68c-0-8675f40f916d,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a34e97-1766949955.71-1766950692.1-1787-22acfb9dbe26,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ad201e-1766926978.94-1766927648.2-375-055eac433475,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ad185f-0-01ed63d42e84,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a8d5db-1766964386.38-1766965128.84-2629-36efc156f05b,DEPARTURE,DEPARTURE,0.30895080856933743,0.0,0.30895080856933743,False
a50f80-0-a813a7d99f66,DEPARTURE,DEPARTURE,1.8694627751604858,-1.0,1.8694627751604858,True
abae2c-0-28bade63d2f6,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a441fb-1766849641.86-1766850351.35-3700-a038670284d5,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
c00b8a-0-49ef91b72558,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a536dd-1766936659.94-1766937489.99-2672-6b54fbdf6719,DEPARTURE,DEPARTURE,0.4619591417224722,0.0,0.4619591417224722,False
Dec 30 2025-a30d55-1767128773.28-1767129551.16-791-446a99da8fe2,DEPARTURE,DEPARTURE,0.7379119507266745,0.0,0.7379119507266745,False
Dec 28 2025-a98408-1766958003.3-1766958706.72-118-dca4b07c3952,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ac1b44-1766962858.27-1766963606.54-808-c9e944f5f96b,DEPARTURE,DEPARTURE,0.2878892952694897,0.0,0.2878892952694897,False
Dec 28 2025-a3f7b8-1766956938.48-1766957758.91-2235-1463d5aaa35a,DEPARTURE,DEPARTURE,0.14006380322649675,0.0,0.14006380322649675,False
Dec 28 2025-a471e0-1766884820.57-1766885502.23-2706-dc216cacc895,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-0d09b9-1766870921.82-1766871668.53-2728-3082e795da60,DEPARTURE,DEPARTURE,0.2181061485601647,0.0,0.2181061485601647,False
ac7e60-0-5833dd3027fc,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a8f0bd-0-98f5fc7c7369,DEPARTURE,DEPARTURE,0.2265454240684134,0.0,0.2265454240684134,False
Dec 29 2025-c04cf4-1767016655.5-1767017406.24-1786-d736b155e51d,DEPARTURE,DEPARTURE,1.2168499001481436,-1.0,1.2168499001481436,True
a4503d-0-476069ee019b,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ac83d5-1766929731.36-1766930693.85-2562-ac54841b6c6b,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
